station_no, road_link, location                       , aadt  , aadt_excl_mc_rickshaw, aadt_pcu, aadt_pcu_excl_mc_rickshaw, fiscal_year, hourly_detail_url
        74, H0214    , Nagdhunga                      ,   9178,                  7531,    16017,                     15191, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Nagdhunga/394
        74, H0214    , Nagdhunga                      ,  10692,                  8769,    22096,                     21135, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Nagdhunga/554
        74, H0214    , Nagdhunga                      ,  11872,                  9260,    22132,                     20826, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Nagdhunga/714
        74, H0214    , Nagdhunga                      ,  12953,                 10606,    26733,                     25560, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Nagdhunga/874
        74, NH41-013 , Nagdhunga                      ,  13929,                 10531,    24898,                     23199, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Nagdhunga/1034
        74, NH41-013 , Nagdhunga                      ,  13662,                 10313,    25837,                     24163, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Nagdhunga/1194
        74, NH41-013 , Nagdhunga                      ,  11490,                  8898,    21370,                     20074, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Nagdhunga/1354
        74, NH41-013 , Nagdhunga                      ,   8441,                  6639,    16377,                     15477, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Nagdhunga/1593
       154, H1607    , Narayan Gopal Chowk West       ,  36550,                 16687,    33704,                     23773, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk West/154
       154, H1607    , Narayan Gopal Chowk West       ,  38268,                 17420,    34854,                     24428, 2012/13    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk West/314
       154, H1607    , Narayan Gopal Chowk West       ,  42286,                 18515,    38949,                     27063, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk West/474
       154, H1607    , Narayan Gopal Chowk West       ,  41751,                 16774,    36259,                     23771, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk West/634
       154, H1607    , Narayan Gopal Chowk West       ,  50084,                 21363,    44422,                     30062, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk West/794
       154, H1607    , Narayan Gopal Chowk West       ,  88792,                 28908,    72089,                     42147, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk West/954
       154, NH39-007 , Narayan Gopal Chowk West       ,  65647,                 22258,    54040,                     32338, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk West/1114
       154, NH39-007 , Narayan Gopal Chowk West       ,  65305,                 21392,    51922,                     29964, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk West/1274
       154, NH39-007 , Narayan Gopal Chowk West       ,  66965,                 21959,    53921,                     31408, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk West/1434
       154, NH39-007 , Narayan Gopal Chowk West       ,  58533,                 19500,    47894,                     28377, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk West/1512
       155, F02501   , Narayan Gopal Chowk South      ,  26857,                 13259,    22297,                     15495, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk South/155
       155, F02501   , Narayan Gopal Chowk South      ,  29533,                 12202,    22859,                     14188, 2012/13    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk South/315
       155, F02501   , Narayan Gopal Chowk South      ,  28777,                 13977,    24270,                     16871, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk South/475
       155, F02501   , Narayan Gopal Chowk South      ,  43211,                 14880,    31939,                     17774, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk South/635
       155, F02501   , Narayan Gopal Chowk South      ,  43219,                 16658,    32605,                     19325, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk South/795
       155, F02501   , Narayan Gopal Chowk South      ,  57045,                 21645,    44270,                     26570, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk South/955
       155, F02501   , Narayan Gopal Chowk South      ,  41438,                 13054,    30052,                     15852, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk South/1115
       155, F02501   , Narayan Gopal Chowk South      ,  47924,                 14541,    34338,                     17638, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk South/1275
       155, F02501   , Narayan Gopal Chowk South      ,  58124,                 19394,    42452,                     23077, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk South/1435
       155, F02501   , Narayan Gopal Chowk South      ,  50332,                 16279,    36184,                     19154, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Narayan Gopal Chowk South/1513
       156, F07501   , Sitapaila South                ,   3653,                  1270,     2875,                      1684, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Sitapaila South/156
       156, F07501   , Sitapaila South                ,   4477,                  1323,     3336,                      1759, 2012/13    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Sitapaila South/316
       156, F07501   , Sitapaila South                ,  33638,                 16513,    34510,                     25944, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Sitapaila South/476
       156, F07501   , Sitapaila South                ,  42705,                 20036,    42736,                     30889, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Sitapaila South/636
       156, F07501   , Sitapaila South                ,   7192,                  1966,     5039,                      2426, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Sitapaila South/796
       156, F07501   , Sitapaila South                ,  45938,                 21059,    47157,                     34718, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Sitapaila South/956
       156, NH21-001 , Sitapaila South                ,  11097,                  2989,     7785,                      3732, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Sitapaila South/1116
       156, NH21-001 , Sitapaila South                ,  11478,                  3140,     8299,                      4130, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Sitapaila South/1276
       156, NH21-001 , Sitapaila South                ,  22267,                  5414,    14884,                      6457, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Sitapaila South/1436
       156, NH21-001 , Sitapaila South                ,  19896,                  5702,    14115,                      7019, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Sitapaila South/1514
       157, H1610    , Kalanki                        ,  30176,                 15271,    31293,                     23840, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Kalanki/157
       157, H1610    , Kalanki                        ,  29411,                 13186,    27729,                     19616, 2012/13    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Kalanki/317
       157, H1610    , Kalanki                        ,  25050,                 11940,    25603,                     19048, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Kalanki/477
       157, H1610    , Kalanki                        ,  27734,                 14223,    29861,                     22809, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Kalanki/637
       157, H1610    , Kalanki                        ,  22446,                 10809,    25165,                     19346, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Kalanki/797
       157, H1610    , Kalanki                        ,  31116,                 15075,    35485,                     27464, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Kalanki/957
       157, NH39-011 , Kalanki                        ,  59744,                 24487,    54720,                     37090, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Kalanki/1117
       157, NH39-011 , Kalanki                        ,  48668,                 21831,    46009,                     32591, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Kalanki/1277
       157, NH39-011 , Kalanki                        ,  67292,                 28014,    57759,                     38119, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Kalanki/1437
       157, NH39-011 , Kalanki                        ,  62669,                 23229,    53030,                     33310, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Kalanki/1515
       158, F07201   , Gwarko East                    ,  17981,                  4517,    12620,                      5863, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Gwarko East/158
       158, F07201   , Gwarko East                    ,  22574,                  5167,    15365,                      6645, 2012/13    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Gwarko East/318
       158, F07201   , Gwarko East                    ,  23484,                  5157,    15782,                      6616, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Gwarko East/478
       158, F07201   , Gwarko East                    ,  34374,                  7264,    23393,                      9761, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Gwarko East/638
       158, F07201   , Gwarko East                    ,  35525,                  7339,    23747,                      9654, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Gwarko East/798
       158, F07201   , Gwarko East                    ,  55865,                 12424,    38289,                     15896, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Gwarko East/958
       158, NH15-001 , Gwarko East                    ,  53608,                 12963,    36497,                     16150, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Gwarko East/1118
       158, NH15-001 , Gwarko East                    ,  66175,                 13596,    42514,                     16217, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Gwarko East/1278
       158, NH15-001 , Gwarko East                    ,  59529,                 12162,    38088,                     14398, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Gwarko East/1438
       158, NH15-001 , Gwarko East                    ,  53995,                 11811,    35021,                     13920, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Gwarko East/1516
       159, F09401   , Byasi Chowk North              ,  10842,                  2964,     8623,                      4684, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Byasi Chowk North/159
       159, F09401   , Byasi Chowk North              ,   9991,                  2859,     8007,                      4441, 2012/13    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Byasi Chowk North/319
       159, F09401   , Byasi Chowk North              ,   2470,                   764,     2021,                      1168, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Byasi Chowk North/479
       159, F09401   , Byasi Chowk North              ,   5178,                  1612,     4526,                      2744, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Byasi Chowk North/639
       159, F09401   , Byasi Chowk North              ,   4901,                  1006,     3443,                      1495, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Byasi Chowk North/799
       159, F09401   , Byasi Chowk North              ,   5349,                  1184,     3784,                      1701, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Byasi Chowk North/959
       159, F09401   , Byasi Chowk North              ,   8892,                  1763,     6117,                      2551, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Byasi Chowk North/1119
       159, F09401   , Byasi Chowk North              ,   8949,                  1975,     6380,                      2894, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Byasi Chowk North/1279
       159, F09401   , Byasi Chowk North              ,   8173,                  1765,     5749,                      2545, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Byasi Chowk North/1439
       159, F09401   , Byasi Chowk North              ,   7978,                  1824,     5610,                      2533, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Byasi Chowk North/1502
       160, H1613    , Satdobato North                ,  30978,                 14899,    30077,                     22038, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato North/160
       160, H1613    , Satdobato North                ,  31068,                 13930,    28368,                     19798, 2012/13    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato North/320
       160, H1613    , Satdobato North                ,  29613,                 12746,    27663,                     19227, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato North/480
       160, H1613    , Satdobato North                ,  45121,                 18124,    42192,                     28693, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato North/640
       160, H1613    , Satdobato North                ,  28708,                 12864,    27691,                     19768, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato North/800
       160, H1613    , Satdobato North                ,  60174,                 25665,    56555,                     39300, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato North/960
       160, NH39-014 , Satdobato North                ,  64749,                 25318,    55180,                     35463, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato North/1120
       160, NH39-014 , Satdobato North                ,  78318,                 28301,    64965,                     39956, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato North/1280
       160, NH39-014 , Satdobato North                ,  63251,                 27412,    56228,                     38301, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato North/1440
       160, NH39-014 , Satdobato North                ,  55157,                 23004,    48833,                     32754, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Satdobato North/1519
        78, H0212    , Naubise West (TRP)             ,    552,                   378,      899,                       812, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Naubise West -2TRP-1/78
        78, H0212    , Naubise West (TRP)             ,    619,                   403,      852,                       744, 2012/13    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Naubise West -2TRP-1/238
        78, H0212    , Naubise West (TRP)             ,   1151,                   534,     1258,                       949, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Naubise West -2TRP-1/398
        78, H0212    , Naubise West (TRP)             ,    580,                   374,      770,                       666, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Naubise West -2TRP-1/558
        78, H0212    , Naubise West (TRP)             ,   1235,                   666,     1656,                      1372, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Naubise West -2TRP-1/718
        78, H0212    , Naubise West (TRP)             ,   1637,                   711,     1971,                      1508, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Naubise West -2TRP-1/878
        78, NH41-011 , Naubise West (TRP)             ,   1417,                   767,     1606,                      1281, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Naubise West -2TRP-1/1038
        78, NH41-011 , Naubise West (TRP)             ,    748,                   354,      921,                       724, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Naubise West -2TRP-1/1198
        78, NH41-011 , Naubise West (TRP)             ,    563,                   257,      577,                       424, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Naubise West -2TRP-1/1358
        78, NH41-011 , Naubise West (TRP)             ,    617,                   319,      811,                       662, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Naubise West -2TRP-1/1597
        53, H0310    , Dhulikhel East                 ,   2964,                  1895,     4305,                      3770, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel East/53
        53, H0310    , Dhulikhel East                 ,   4107,                  2139,     5312,                      4321, 2012/13    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel East/213
        53, H0310    , Dhulikhel East                 ,   4426,                  3773,     7803,                      7476, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel East/373
        53, H0310    , Dhulikhel East                 ,   3752,                  2688,     5845,                      5307, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel East/533
        53, H0310    , Dhulikhel East                 ,   4828,                  2743,     6753,                      5710, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel East/693
        53, H0310    , Dhulikhel East                 ,   9619,                  6920,    15487,                     14138, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel East/853
        53, NH34-010 , Dhulikhel East                 ,  10291,                  5264,    13069,                     10555, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel East/1013
        53, NH34-010 , Dhulikhel East                 ,   9813,                  6014,    15280,                     13381, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel East/1173
        53, NH34-010 , Dhulikhel East                 ,   7624,                  4763,    11241,                      9810, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel East/1333
        53, NH34-010 , Dhulikhel East                 ,   5953,                  4249,    10177,                      9325, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel East/1570
        54, H0610    , Dhulikhel South                ,   1404,                   807,     1686,                      1388, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel South/54
        54, H0610    , Dhulikhel South                ,   2683,                  1219,     2990,                      2107, 2012/13    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel South/214
        54, H0610    , Dhulikhel South                ,   2893,                  2310,     4602,                      4311, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel South/374
        54, H0610    , Dhulikhel South                ,   2314,                  1534,     3274,                      2850, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel South/534
        54, H0610    , Dhulikhel South                ,   4751,                  2663,     5270,                      4225, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel South/694
        54, H0610    , Dhulikhel South                ,  10088,                  4886,     9208,                      6604, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel South/854
        54, NH13-006 , Dhulikhel South                ,  10286,                  4944,     9912,                      7240, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel South/1014
        54, NH13-006 , Dhulikhel South                ,  11158,                  5842,    11663,                      9005, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel South/1174
        54, NH13-006 , Dhulikhel South                ,   9589,                  4981,     9473,                      7167, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel South/1334
        54, NH13-006 , Dhulikhel South                ,   6082,                  3315,     6653,                      5269, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Dhulikhel South/1571
        55, F02901   , Banepa South                   ,   7695,                  2000,     6223,                      3366, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Banepa South/55
        55, F02901   , Banepa South                   ,   4965,                  2060,     5194,                      3741, 2012/13    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Banepa South/215
        55, F02901   , Banepa South                   ,   9373,                  4359,    10544,                      7921, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Banepa South/375
        55, F02901   , Banepa South                   ,   3632,                  1457,     3820,                      2732, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Banepa South/535
        55, F02901   , Banepa South                   ,   6231,                  2858,     7607,                      5919, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Banepa South/695
        55, F02901   , Banepa South                   ,  12269,                  4603,    10462,                      6539, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Banepa South/855
        55, F02901   , Banepa South                   ,  12021,                  4660,    12341,                      8592, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Banepa South/1015
        55, F02901   , Banepa South                   ,  11578,                  4151,    10046,                      6311, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Banepa South/1175
        55, F02901   , Banepa South                   ,  12745,                  5060,    12327,                      8424, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Banepa South/1335
        55, F02901   , Banepa South                   ,  14403,                  5460,    13781,                      9268, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Banepa South/1458
       150, F02108   , Bidur North                    ,   2386,                   606,     1906,                      1020, 2011/12    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Bidur North/150
       150, F02108   , Bidur North                    ,   2625,                   808,     2188,                      1290, 2012/13    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Bidur North/310
       150, F02108   , Bidur North                    ,   5031,                  1037,     3911,                      1913, 2014/15    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Bidur North/470
       150, F02108   , Bidur North                    ,   4688,                   899,     3554,                      1659, 2015/16    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Bidur North/630
       150, F02108   , Bidur North                    ,   4817,                  1669,     4377,                      2803, 2016/17    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Bidur North/790
       150, F02108   , Bidur North                    ,   3075,                   856,     2635,                      1525, 2018/19    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Bidur North/950
       150, NH42-008 , Bidur North                    ,   7724,                  1823,     6037,                      3086, 2020/21    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Bidur North/1110
       150, NH42-008 , Bidur North                    ,   7900,                  1880,     6146,                      3136, 2021/22    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Bidur North/1270
       150, NH42-008 , Bidur North                    ,   7746,                  1678,     5820,                      2786, 2022/23    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Bidur North/1430
       150, NH42-008 , Bidur North                    ,   8410,                  2149,     6423,                      3293, 2024/25    , https://ssrn.dor.gov.np/traffic_controller/get_detail/Bidur North/1508
